[ASSETS]
Resource\World1-1\mario.txt
Resource\World1-1\platform.txt
Resource\WorldMap\grass.txt
Resource\WorldMap\door.txt
[TILEMAP]
Resource\Tilemap\world1.txt
[OBJECTS]

#GRASS
1001	16	16
1001	16	32
1001	32	16
1001	32	32
1001	48	16
1001	48	32

1001	16	64
1001	32	64
1001	48	64
1001	16	80
1001	32	80
1001	48	80
1001	16	96

1001	80	32
1001	96	32
1001	112	32
1001	80	48
1001	96	48
1001	112	48
1001	80	64
1001	96	64
1001	112	64

1001	144	32
1001	160	32
1001	176	32

1001	208	16
1001	224	16
1001	208	32
1001	224	32
1001	208	48
1001	224	48

1001	144	64
1001	160	64
1001	176	64
1001	192	64
1001	208	64
1001	224	64

1001	144	80
1001	160	80

1001	96	96
1001	112	96
1001	128	96

1001	224	80
1001	224	96
1001	224	112
1001	224	128
1001	224	144
#DOOR
1010	32	48
1011	64	16
1012	128	16
1013	160	16
1014	160	48
1015	64	144
1016	128	144

#MARIO
1000	32	48
